# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
2.625e-05       	T               	2.85406249e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00806659e+02	(5.01700000e-01 1.00000000e-01 1.00000000e-01)	2
2.75e-05        	p               	9.95191181e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(1.39500000e-01 1.00000000e-01 1.00000000e-01)	0
2.75e-05        	U               	(-1.14277844e+00 1.45482808e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.68540481e+01 5.15605022e-15 5.15605022e-15)	(4.92300000e-01 1.00000000e-01 1.00000000e-01)	1
2.75e-05        	T               	2.85406783e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00806049e+02	(5.01700000e-01 1.00000000e-01 1.00000000e-01)	2
2.875e-05       	p               	9.94976726e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.30900000e-01 1.00000000e-01 1.00000000e-01)	0
2.875e-05       	U               	(-1.19560724e+00 1.45459611e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(9.31036405e+00 5.25134547e-15 5.25134547e-15)	(4.90300000e-01 1.00000000e-01 1.00000000e-01)	1
2.875e-05       	T               	2.85407327e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00804948e+02	(5.01700000e-01 1.00000000e-01 1.00000000e-01)	2
3e-05           	p               	9.94762344e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.31300000e-01 1.00000000e-01 1.00000000e-01)	0
3e-05           	U               	(-1.24844264e+00 1.45424943e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.11929851e+01 5.40978093e-15 5.40978093e-15)	(4.90300000e-01 1.00000000e-01 1.00000000e-01)	1
3e-05           	T               	2.85408205e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00803645e+02	(5.01900000e-01 1.00000000e-01 1.00000000e-01)	2
3.14286e-05     	p               	9.94506433e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(3.01300000e-01 1.00000000e-01 1.00000000e-01)	1
3.14286e-05     	U               	(-1.30794769e+00 1.63442421e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(6.60255142e+00 4.76571774e-15 7.14857660e-15)	(4.88700000e-01 1.00000000e-01 1.00000000e-01)	1
3.14286e-05     	T               	2.85409780e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00803503e+02	(5.01900000e-01 1.00000000e-01 1.00000000e-01)	2
3.28571e-05     	p               	9.94255503e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(1.78100000e-01 1.00000000e-01 1.00000000e-01)	0
3.28571e-05     	U               	(-1.36792427e+00 1.64602123e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(8.44780589e+00 5.25175970e-15 7.87763955e-15)	(4.88700000e-01 1.00000000e-01 1.00000000e-01)	1
3.28571e-05     	T               	2.85411216e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00802605e+02	(5.01900000e-01 1.00000000e-01 1.00000000e-01)	2
3.42857e-05     	p               	9.94007593e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(3.02100000e-01 1.00000000e-01 1.00000000e-01)	1
3.42857e-05     	U               	(-1.42815150e+00 1.65176007e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.03716698e+01 5.51230992e-15 8.26846488e-15)	(4.88700000e-01 1.00000000e-01 1.00000000e-01)	1
